appid,name,genres,tags,release_date,current_players,collected_at
1590260,Cube Space,"['Action', 'Casual', 'Indie', 'Simulation']",[],"15 Apr, 2021",0,2026-03-17T22:45:33.382736
3206380,星夜往事录：彩蜃,"['Indie', 'RPG']",[],"3 Jan, 2026",0,2026-03-17T22:45:36.249958
2313030,Nuke Survivors,['Action'],[],"23 Feb, 2023",0,2026-03-17T22:45:39.015240
608190,Frontier VR,"['Adventure', 'Casual']",[],"17 Mar, 2017",0,2026-03-17T22:45:41.550858
2074260,Middle Evil: The Priest,"['Action', 'Adventure', 'Indie']",[],"20 Feb, 2024",0,2026-03-17T22:45:44.134798
2442490,THE LAST BREATH,"['Action', 'Adventure', 'Indie', 'Strategy']",[],"25 Jul, 2023",0,2026-03-17T22:45:46.899628
2679060,失落的猫猫 Lost Cat,"['Adventure', 'Casual', 'Indie']",[],"28 Nov, 2023",0,2026-03-17T22:45:49.459862
2388600,Mythical Mayhem,"['Indie', 'RPG', 'Strategy']",[],"9 Mar, 2024",0,2026-03-17T22:45:52.224888
1890550,Triga,"['Casual', 'Indie', 'Strategy']",[],"19 May, 2022",0,2026-03-17T22:45:54.784401
3111710,Animal Farmland,"['Casual', 'Indie', 'Simulation', 'Strategy']",[],"26 Dec, 2024",0,2026-03-17T22:45:57.652485
1444890,Crazy Mafioso,"['Action', 'Casual', 'Indie']",[],"16 Nov, 2020",0,2026-03-17T22:46:00.313468
2503070,DEAD PETALS BLISS,"['Action', 'Indie', 'Early Access']",[],Coming soon,0,2026-03-17T22:46:03.078811
451100,Cubikolor,"['Casual', 'Indie']",[],"20 May, 2016",0,2026-03-17T22:46:05.638616
388210,Day of the Tentacle Remastered,['Adventure'],[],"21 Mar, 2016",18,2026-03-17T22:46:08.198549
4052400,Anomaly Directive,['Adventure'],[],"16 Apr, 2026",0,2026-03-17T22:46:11.065459
2109090,Joey and Penguin's 2 Player Adventure,"['Action', 'Adventure', 'Indie']",[],"14 Sep, 2022",0,2026-03-17T22:46:13.626779
